"samp_size","model","dim","num_bs_samples","nrm_typ","test_type","proc_type","xcor","rej_conf","ub","lb","min_pval","max_pval","rej_rate"
100,3,50,300,"l2","DE3JN","mag",0.5,"0.0948 (0.0868, 0.1033)",0.1033,0.0868,0,0.964,0.0948
100,3,50,300,"lp","DE3JN","mag",0.5,"0.1345 (0.1251, 0.1443)",0.1443,0.1251,0,0.984,0.1345
100,3,50,300,"max","DE3JN","mag",0.5,"0.1692 (0.1589, 0.1799)",0.1799,0.1589,0,0.996,0.1692
100,3,50,300,"ssq","DE3JN","mag",0.5,"0.1395 (0.13, 0.1495)",0.1495,0.13,0,0.984,0.1395
100,4,10,300,"bonf","DE3JN","mag",0.5,"0.1266 (0.1175, 0.1361)",0.1361,0.1175,7.29723395398452e-05,6.47491844817619,0.1266
100,4,10,300,"l2","DE3JN","mag",0.5,"0.2142 (0.2029, 0.2258)",0.2258,0.2029,0,1,0.2142
100,4,10,300,"lp","DE3JN","mag",0.5,"0.2096 (0.1984, 0.2211)",0.2211,0.1984,0,1,0.2096
100,4,10,300,"max","DE3JN","mag",0.5,"0.1756 (0.1651, 0.1864)",0.1864,0.1651,0,1,0.1756
100,4,10,300,"ssq","DE3JN","mag",0.5,"0.2099 (0.1987, 0.2215)",0.2215,0.1987,0,1,0.2099
100,4,100,300,"bonf","DE3JN","mag",0.5,"0.0982 (0.0901, 0.1068)",0.1068,0.0901,5.92259140175244e-05,16.798715177203,0.0982
100,4,100,300,"l2","DE3JN","mag",0.5,"0.2252 (0.2137, 0.237)",0.237,0.2137,0,0.996,0.2252
100,4,100,300,"lp","DE3JN","mag",0.5,"0.2714 (0.2591, 0.284)",0.284,0.2591,0,0.992,0.2714
100,4,100,300,"max","DE3JN","mag",0.5,"0.2282 (0.2166, 0.2401)",0.2401,0.2166,0,1,0.2282
100,4,100,300,"ssq","DE3JN","mag",0.5,"0.2806 (0.2681, 0.2933)",0.2933,0.2681,0,0.992,0.2806
100,4,50,300,"bonf","DE3JN","mag",0.5,"0.096 (0.088, 0.1045)",0.1045,0.088,4.14115282509897e-05,11.7308734115976,0.096
100,4,50,300,"l2","DE3JN","mag",0.5,"0.2158 (0.2045, 0.2275)",0.2275,0.2045,0,1,0.2158
100,4,50,300,"lp","DE3JN","mag",0.5,"0.2462 (0.2343, 0.2584)",0.2584,0.2343,0,0.996,0.2462
100,4,50,300,"max","DE3JN","mag",0.5,"0.2028 (0.1917, 0.2142)",0.2142,0.1917,0,1,0.2028
100,4,50,300,"ssq","DE3JN","mag",0.5,"0.2482 (0.2363, 0.2604)",0.2604,0.2363,0,1,0.2482
200,1,10,300,"bonf","DE3JN","mag",0.5,"0.042 (0.0366, 0.0479)",0.0479,0.0366,0.000151056401513916,6.44679073255877,0.042
200,1,10,300,"l2","DE3JN","mag",0.5,"0.0608 (0.0543, 0.0678)",0.0678,0.0543,0,1,0.0608
200,1,10,300,"lp","DE3JN","mag",0.5,"0.0652 (0.0585, 0.0724)",0.0724,0.0585,0,1,0.0652
200,1,10,300,"max","DE3JN","mag",0.5,"0.0672 (0.0604, 0.0745)",0.0745,0.0604,0,1,0.0672
200,1,10,300,"ssq","DE3JN","mag",0.5,"0.0642 (0.0576, 0.0714)",0.0714,0.0576,0,1,0.0642
200,1,100,300,"bonf","DE3JN","mag",0.5,"0.0288 (0.0243, 0.0338)",0.0338,0.0243,0.000844179440240289,17.0523244711551,0.0288
200,1,100,300,"l2","DE3JN","mag",0.5,"0.0594 (0.0548, 0.0642)",0.0642,0.0548,0,1,0.0594
200,1,100,300,"lp","DE3JN","mag",0.5,"0.0738 (0.0667, 0.0814)",0.0814,0.0667,0,1,0.0738
