samp_size,model,dim,num_bs_samples,nrm_typ,test_type,proc_type,xcor,rej_conf,ub,lb,min_pval,max_pval,rej_rate
100,3,50,250,ssq,DE2,mag,0.5,"0.0934 (0.0855, 0.1018)",0.1018,0.0855,0,1,0.0934
100,4,10,250,bonf,DE2,mag,0.5,"0.2108 (0.1995, 0.2223)",0.2223,0.1995,0,6.538029376,0.2108
100,4,10,250,l2,DE2,mag,0.5,"0.2892 (0.2767, 0.302)",0.302,0.2767,0,1,0.2892
100,4,10,250,lp,DE2,mag,0.5,"0.2752 (0.2628, 0.2878)",0.2878,0.2628,0,1,0.2752
100,4,10,250,max,DE2,mag,0.5,"0.2084 (0.1973, 0.22)",0.22,0.1973,0,1,0.2084
100,4,10,250,ssq,DE2,mag,0.5,"0.2699 (0.2576, 0.2824)",0.2824,0.2576,0,1,0.2699
100,4,100,250,bonf,DE2,mag,0.5,"0.1857 (0.175, 0.1968)",0.1968,0.175,0,39.52988924,0.1857
100,4,100,250,l2,DE2,mag,0.5,"0.2749 (0.2626, 0.2875)",0.2875,0.2626,0,1,0.2749
100,4,100,250,lp,DE2,mag,0.5,"0.2767 (0.2643, 0.2893)",0.2893,0.2643,0,1,0.2767
100,4,100,250,max,DE2,mag,0.5,"0.2142 (0.2029, 0.2259)",0.2259,0.2029,0,1,0.2142
100,4,100,250,ssq,DE2,mag,0.5,"0.2694 (0.2571, 0.2819)",0.2819,0.2571,0,1,0.2694
100,4,50,250,bonf,DE2,mag,0.5,"0.1993 (0.1883, 0.2107)",0.2107,0.1883,0,15.75092771,0.1993
100,4,50,250,l2,DE2,mag,0.5,"0.2911 (0.2786, 0.304)",0.304,0.2786,0,1,0.2911
100,4,50,250,lp,DE2,mag,0.5,"0.2843 (0.2718, 0.297)",0.297,0.2718,0,1,0.2843
100,4,50,250,max,DE2,mag,0.5,"0.2198 (0.2084, 0.2316)",0.2316,0.2084,0,0.996,0.2198
100,4,50,250,ssq,DE2,mag,0.5,"0.2848 (0.2723, 0.2975)",0.2975,0.2723,0,1,0.2848
200,1,10,250,bonf,DE2,mag,0.5,"0.045 (0.0394, 0.0511)",0.0511,0.0394,2.02E-05,6.200439355,0.045
200,1,10,250,l2,DE2,mag,0.5,"0.053 (0.047, 0.0596)",0.0596,0.047,0,1,0.053
200,1,10,250,lp,DE2,mag,0.5,"0.0576 (0.0513, 0.0644)",0.0644,0.0513,0,1,0.0576
200,1,10,250,max,DE2,mag,0.5,"0.0588 (0.0524, 0.0657)",0.0657,0.0524,0,1,0.0588
200,1,10,250,ssq,DE2,mag,0.5,"0.0558 (0.0496, 0.0625)",0.0625,0.0496,0,1,0.0558
200,1,100,250,bonf,DE2,mag,0.5,"0.0552 (0.049, 0.0619)",0.0619,0.049,8.70E-08,26.87633091,0.0552
200,1,100,250,l2,DE2,mag,0.5,"0.0614 (0.0549, 0.0684)",0.0684,0.0549,0,1,0.0614
200,1,100,250,lp,DE2,mag,0.5,"0.065 (0.0583, 0.0722)",0.0722,0.0583,0,1,0.065
200,1,100,250,max,DE2,mag,0.5,"0.0766 (0.0694, 0.0843)",0.0843,0.0694,0,1,0.0766
200,1,100,250,ssq,DE2,mag,0.5,"0.0654 (0.0587, 0.0726)",0.0726,0.0587,0,1,0.0654
200,1,50,250,bonf,DE2,mag,0.5,"0.0508 (0.0449, 0.0573)",0.0573,0.0449,4.95E-07,18.1149925,0.0508
200,1,50,250,l2,DE2,mag,0.5,"0.06 (0.0536, 0.0669)",0.0669,0.0536,0,1,0.06
200,1,50,250,lp,DE2,mag,0.5,"0.0672 (0.0604, 0.0745)",0.0745,0.0604,0,1,0.0672
200,1,50,250,max,DE2,mag,0.5,"0.0668 (0.06, 0.0741)",0.0741,0.06,0,1,0.0668
200,1,50,250,ssq,DE2,mag,0.5,"0.067 (0.0602, 0.0743)",0.0743,0.0602,0,1,0.067
200,2,10,250,bonf,DE2,mag,0.5,"0.6442 (0.6307, 0.6575)",0.6575,0.6307,0,4.565426121,0.6442
200,2,10,250,l2,DE2,mag,0.5,"0.6698 (0.6566, 0.6828)",0.6828,0.6566,0,0.992,0.6698
200,2,10,250,lp,DE2,mag,0.5,"0.6902 (0.6772, 0.703)",0.703,0.6772,0,0.992,0.6902
200,2,10,250,max,DE2,mag,0.5,"0.6578 (0.6445, 0.671)",0.671,0.6445,0,0.996,0.6578
200,2,10,250,ssq,DE2,mag,0.5,"0.6872 (0.6741, 0.7)",0.7,0.6741,0,0.992,0.6872
200,2,100,250,bonf,DE2,mag,0.5,"0.4938 (0.4798, 0.5078)",0.5078,0.4798,0,26.86027338,0.4938
200,2,100,250,l2,DE2,mag,0.5,"0.576 (0.5622, 0.5898)",0.5898,0.5622,0,0.996,0.576
200,2,100,250,lp,DE2,mag,0.5,"0.5858 (0.572, 0.5995)",0.5995,0.572,0,1,0.5858
200,2,100,250,max,DE2,mag,0.5,"0.5348 (0.5209, 0.5487)",0.5487,0.5209,0,1,0.5348
200,2,100,250,ssq,DE2,mag,0.5,"0.5864 (0.5726, 0.6001)",0.6001,0.5726,0,1,0.5864
200,2,50,250,bonf,DE2,mag,0.5,"0.5238 (0.5098, 0.5377)",0.5377,0.5098,0,13.09612266,0.5238
200,2,50,250,l2,DE2,mag,0.5,"0.5918 (0.578, 0.6055)",0.6055,0.578,0,0.992,0.5918
200,2,50,250,lp,DE2,mag,0.5,"0.6138 (0.6001, 0.6273)",0.6273,0.6001,0,0.996,0.6138
200,2,50,250,max,DE2,mag,0.5,"0.552 (0.5381, 0.5659)",0.5659,0.5381,0,1,0.552
200,2,50,250,ssq,DE2,mag,0.5,"0.6098 (0.5961, 0.6234)",0.6234,0.5961,0,0.996,0.6098
200,3,10,250,bonf,DE2,mag,0.5,"0.2212 (0.2098, 0.233)",0.233,0.2098,1.28E-10,4.864373565,0.2212
200,3,10,250,l2,DE2,mag,0.5,"0.2698 (0.2575, 0.2823)",0.2823,0.2575,0,0.968,0.2698
200,3,10,250,lp,DE2,mag,0.5,"0.2944 (0.2818, 0.3073)",0.3073,0.2818,0,0.968,0.2944
200,3,10,250,max,DE2,mag,0.5,"0.3282 (0.3152, 0.3414)",0.3414,0.3152,0,0.992,0.3282
200,3,10,250,ssq,DE2,mag,0.5,"0.2938 (0.2812, 0.3066)",0.3066,0.2812,0,0.96,0.2938
200,3,100,250,bonf,DE2,mag,0.5,"0.0992 (0.091, 0.1078)",0.1078,0.091,7.66E-09,32.55298913,0.0992
200,3,100,250,l2,DE2,mag,0.5,"0.0842 (0.0766, 0.0922)",0.0922,0.0766,0,1,0.0842
200,3,100,250,lp,DE2,mag,0.5,"0.1052 (0.0968, 0.114)",0.114,0.0968,0,1,0.1052
200,3,100,250,max,DE2,mag,0.5,"0.1556 (0.1457, 0.1659)",0.1659,0.1457,0,1,0.1556
200,3,100,250,ssq,DE2,mag,0.5,"0.1214 (0.1125, 0.1308)",0.1308,0.1125,0,1,0.1214
200,3,50,250,bonf,DE2,mag,0.5,"0.1184 (0.1096, 0.1277)",0.1277,0.1096,2.05E-09,16.63889926,0.1184
200,3,50,250,l2,DE2,mag,0.5,"0.0834 (0.0759, 0.0914)",0.0914,0.0759,0,0.996,0.0834
200,3,50,250,lp,DE2,mag,0.5,"0.1226 (0.1136, 0.132)",0.132,0.1136,0,1,0.1226
200,3,50,250,max,DE2,mag,0.5,"0.177 (0.1665, 0.1879)",0.1879,0.1665,0,1,0.177
200,3,50,250,ssq,DE2,mag,0.5,"0.1258 (0.1167, 0.1353)",0.1353,0.1167,0,1,0.1258
200,4,10,250,bonf,DE2,mag,0.5,"0.3649 (0.3516, 0.3785)",0.3785,0.3516,0,7.006170083,0.3649
200,4,10,250,l2,DE2,mag,0.5,"0.5051 (0.4911, 0.519)",0.519,0.4911,0,1,0.5051
200,4,10,250,lp,DE2,mag,0.5,"0.485 (0.4711, 0.499)",0.499,0.4711,0,1,0.485
200,4,10,250,max,DE2,mag,0.5,"0.3776 (0.3641, 0.3912)",0.3912,0.3641,0,1,0.3776
200,4,10,250,ssq,DE2,mag,0.5,"0.4801 (0.4662, 0.4941)",0.4941,0.4662,0,1,0.4801
200,4,100,250,bonf,DE2,mag,0.5,"0.3122 (0.2993, 0.3252)",0.3252,0.2993,0,28.03438595,0.3122
200,4,100,250,l2,DE2,mag,0.5,"0.4712 (0.4573, 0.4852)",0.4852,0.4573,0,1,0.4712
200,4,100,250,lp,DE2,mag,0.5,"0.4641 (0.4502, 0.4781)",0.4781,0.4502,0,1,0.4641
200,4,100,250,max,DE2,mag,0.5,"0.3652 (0.3519, 0.3787)",0.3787,0.3519,0,1,0.3652
200,4,100,250,ssq,DE2,mag,0.5,"0.4528 (0.4389, 0.4667)",0.4667,0.4389,0,1,0.4528
200,4,50,250,bonf,DE2,mag,0.5,"0.3378 (0.3247, 0.3511)",0.3511,0.3247,0,15.86664061,0.3378
200,4,50,250,l2,DE2,mag,0.5,"0.4942 (0.4802, 0.5082)",0.5082,0.4802,0,1,0.4942
