samp_size,model,dim,num_bs_samples,nrm_typ,test_type,proc_type,xcor,rej_conf,ub,lb,min_pval,max_pval,rej_rate
100,2,100,250,lp,pearson,mag,0.8,"0.565 (0.5512, 0.5788)",0.5788,0.5512,0,0.996,0.565
100,2,100,250,lp,pearson,mag,0,"0.0994 (0.0912, 0.108)",0.108,0.0912,0,1,0.0994
100,2,50,250,bonf,pearson,mag,0.5,"0.5212 (0.5072, 0.5351)",0.5351,0.5072,0,11.61902288,0.5212
100,2,50,250,bonf,pearson,mag,0.8,"0.5306 (0.5167, 0.5445)",0.5445,0.5167,0,20.28719303,0.5306
100,2,50,250,bonf,pearson,mag,0,"0.4012 (0.3876, 0.4149)",0.4149,0.3876,3.22E-13,6.121172645,0.4012
100,2,50,250,pbotlp,pearson,mag,0.5,"0.4626 (0.4488, 0.4766)",0.4766,0.4488,0,0.976,0.4626
100,2,50,250,pbotlp,pearson,mag,0.8,"0.6327 (0.6192, 0.646)",0.646,0.6192,0,1,0.6327
100,2,50,250,pbotlp,pearson,mag,0,"0.1787 (0.1682, 0.1896)",0.1896,0.1682,0,0.992,0.1787
100,2,50,250,lp,pearson,mag,0.5,"0.404 (0.3904, 0.4178)",0.4178,0.3904,0,1,0.404
100,2,50,250,lp,pearson,mag,0.8,"0.5718 (0.5579, 0.5856)",0.5856,0.5579,0,1,0.5718
100,2,50,250,lp,pearson,mag,0,"0.1373 (0.1279, 0.147)",0.147,0.1279,0,1,0.1373
100,3,10,250,bonf,pearson,mag,0.5,"0.5892 (0.5754, 0.6029)",0.6029,0.5754,0,5.273583684,0.5892
100,3,10,250,bonf,pearson,mag,0.8,"0.581 (0.5672, 0.5947)",0.5947,0.5672,0,6.548240954,0.581
100,3,10,250,bonf,pearson,mag,0,"0.5953 (0.5815, 0.6089)",0.6089,0.5815,1.98E-11,2.588061457,0.5953
100,3,10,250,pbotlp,pearson,mag,0.5,"0.5846 (0.5709, 0.5983)",0.5983,0.5709,0,0.996,0.5846
100,3,10,250,pbotlp,pearson,mag,0.8,"0.6427 (0.6294, 0.6559)",0.6559,0.6294,0,0.992,0.6427
100,3,10,250,pbotlp,pearson,mag,0,"0.7653 (0.7533, 0.7769)",0.7769,0.7533,0,0.9,0.7653
100,3,10,250,lp,pearson,mag,0.5,"0.5108 (0.4968, 0.5247)",0.5247,0.4968,0,1,0.5108
100,3,10,250,lp,pearson,mag,0.8,"0.5851 (0.5715, 0.5987)",0.5987,0.5715,0,1,0.5851
100,3,10,250,lp,pearson,mag,0,"0.701 (0.6881, 0.7137)",0.7137,0.6881,0,0.94,0.701
100,3,100,250,bonf,pearson,mag,0.5,"0.5024 (0.4884, 0.5164)",0.5164,0.4884,4.44E-14,16.91241949,0.5024
100,3,100,250,bonf,pearson,mag,0.8,"0.5174 (0.5034, 0.5313)",0.5313,0.5034,0,33.64391296,0.5174
100,3,100,250,bonf,pearson,mag,0,"0.3949 (0.3814, 0.4085)",0.4085,0.3814,1.99E-10,5.144959594,0.3949
100,3,100,250,pbotlp,pearson,mag,0.5,"0.4403 (0.4265, 0.4542)",0.4542,0.4265,0,0.984,0.4403
100,3,100,250,pbotlp,pearson,mag,0.8,"0.6267 (0.6133, 0.64)",0.64,0.6133,0,0.932,0.6267
100,3,100,250,pbotlp,pearson,mag,0,"0.2245 (0.2131, 0.2362)",0.2362,0.2131,0,0.816,0.2245
100,3,100,250,lp,pearson,mag,0.5,"0.3784 (0.3649, 0.392)",0.392,0.3649,0,1,0.3784
100,3,100,250,lp,pearson,mag,0.8,"0.5653 (0.5515, 0.5791)",0.5791,0.5515,0,1,0.5653
